feature_index,name,min,max
0,cc_num,-0.50950706,3.68537371
1,merchant,-1.87775921,1.90832968
2,amt,-0.90951676,9.56326803
3,first,-2.02878863,1.92609971
4,last,-2.01438585,1.84360364
5,street,-1.91580747,1.93860554
6,city,-1.88458299,1.90524443
7,zip,-1.95234257,2.07932361
8,lat,-4.09124770,5.61034956
9,long,-5.84311926,1.97583993
10,city_pop,-0.77600065,9.82922944
11,job,-1.94901982,1.89515663
12,merch_lat,-4.06065779,5.57237099
13,merch_long,-5.78578926,1.96708617
14,hour,-2.04762744,1.66436257
15,day_of_week,-1.48657049,1.51618295
16,month,-1.95683476,1.57606048
17,age,-2.05393721,2.99993855
18,category_food_dining,-0.47078556,3.82424003
19,category_gas_transport,-0.50167947,3.14073486
20,category_grocery_net,-0.46248805,5.52097144
21,category_grocery_pos,-0.49464245,3.25483619
22,category_health_fitness,-0.46732832,3.95815781
23,category_home,-0.49421609,3.26224594
24,category_kids_pets,-0.48641371,3.41036504
25,category_misc_net,-0.45860180,4.64012401
26,category_misc_pos,-0.46421493,4.10869200
27,category_personal_care,-0.47050066,3.83433825
28,category_shopping_net,-0.47476771,3.69611898
29,category_shopping_pos,-0.48905720,3.35727946
30,category_travel,-0.46691891,5.85156117
31,gender_M,-1.00901408,1.20111040
32,state_AL,-0.46647644,5.82241843
33,state_AR,-0.48323363,6.69193187
34,state_AZ,-0.64278824,11.48673720
35,state_CA,-0.45838459,4.93699639
36,state_CO,-0.59049266,10.11556299
37,state_CT,-0.72861327,13.60213344
38,state_DC,-1.00413538,19.92748670
39,state_DE,-22.68603963,476.35833938
40,state_FL,-0.46486306,5.71019062
41,state_GA,-0.49920252,7.32777558
42,state_HI,-1.17208651,23.63641958
43,state_IA,-0.49541127,7.18559724
44,state_ID,-0.82683412,15.91142862
45,state_IL,-0.46395324,5.64181586
46,state_IN,-0.49362982,7.11719413
47,state_KS,-0.51288612,7.81050277
48,state_KY,-0.49035287,6.98834580
49,state_LA,-0.52462243,8.19663587
50,state_MA,-0.61379639,10.73738102
51,state_MD,-0.49918899,7.32727591
52,state_ME,-0.56058191,9.28201914
53,state_MI,-0.46203235,5.47980446
54,state_MN,-0.48181998,6.62975762
55,state_MO,-0.46959835,6.01660883
56,state_MS,-0.52432843,8.18720961
57,state_MT,-0.62301650,10.97827305
58,state_NC,-0.48594970,6.80804919
59,state_ND,-0.57781610,9.76796115
60,state_NE,-0.50783934,7.63724976
61,state_NH,-0.71022776,13.15876671
62,state_NJ,-0.50560242,7.55879464
63,state_NM,-0.56062379,9.28322145
64,state_NV,-0.82584707,15.88861475
65,state_NY,-0.46610340,4.01302165
66,state_OH,-0.46167134,5.44562183
67,state_OK,-0.49732209,7.25780473
68,state_OR,-0.54204028,8.73713916
69,state_PA,-0.46419558,4.10975901
70,state_RI,-2.51376825,52.34784597
71,state_SC,-0.48875557,6.92396861
72,state_SD,-0.61365563,10.73368278
73,state_TN,-0.55083213,8.99879911
74,state_TX,-0.47284924,3.75506292
75,state_UT,-0.64286222,11.48862114
76,state_VA,-0.48870353,6.92185242
77,state_VT,-0.62294049,10.97629765
78,state_WA,-0.53860579,8.63307976
79,state_WI,-0.48874100,6.92337589
80,state_WV,-0.50145200,7.41016728
81,state_WY,-0.53479846,8.51638195
